Company_Name,Stock_Code,Day,WeekDay,Week,Month,Month_Name,Quarter,Opening_Value,Highest_Value,Lowest_Value,Closing_Value,Volume,Daily_Closing_Variation,Year
Apple,AAPL,2024-05-17,Friday,20,5,May,2,189.51,190.81,189.18,189.87,41282925,0.01580278128950755,2024
Apple,AAPL,2024-05-16,Thursday,20,5,May,2,190.47,191.095,189.6601,189.84,52845230,0.06325110689437305,2024
Apple,AAPL,2024-05-15,Wednesday,20,5,May,2,187.91,190.65,187.37,189.72,70399988,1.2217894680680745,2024
Apple,AAPL,2024-05-14,Tuesday,20,5,May,2,187.51,188.3,186.29,187.43,52393619,0.6173502254670419,2024
Apple,AAPL,2024-05-13,Monday,20,5,May,2,185.435,187.1,184.62,186.28,72044809,1.7645452062278009,2024
Apple,AAPL,2024-05-10,Friday,19,5,May,2,184.9,185.09,182.13,183.05,50759496,-0.8235357858806858,2024
Apple,AAPL,2024-05-09,Thursday,19,5,May,2,182.56,184.66,182.11,184.57,48982972,1.001422786472575,2024
Apple,AAPL,2024-05-08,Wednesday,19,5,May,2,182.85,183.07,181.45,182.74,45057087,0.18640350877193168,2024
Apple,AAPL,2024-05-07,Tuesday,19,5,May,2,183.45,184.9,181.32,182.4,77305771,0.3797259369324736,2024
Apple,AAPL,2024-05-06,Monday,19,5,May,2,182.354,184.2,180.42,181.71,78569667,-0.9106772821463559,2024
Apple,AAPL,2024-05-03,Friday,18,5,May,2,186.645,187.0,182.66,183.38,163224109,5.98162168410102,2024
Apple,AAPL,2024-05-02,Thursday,18,5,May,2,172.51,173.415,170.89,173.03,94214915,2.2031896042527994,2024
Apple,AAPL,2024-05-01,Wednesday,18,5,May,2,169.58,172.705,169.11,169.3,50383147,-0.6047085070157935,2024
Apple,AAPL,2024-04-30,Tuesday,18,4,April,2,173.33,174.99,170.0,170.33,65934776,-1.8270893371757853,2024
Apple,AAPL,2024-04-29,Monday,18,4,April,2,173.37,176.03,173.1,173.5,68169419,2.480803307737737,2024
Apple,AAPL,2024-04-26,Friday,17,4,April,2,169.88,171.34,169.18,169.3,44838354,-0.34728353640589504,2024
Apple,AAPL,2024-04-25,Thursday,17,4,April,2,169.525,170.61,168.1511,169.89,50558329,0.5147319843805325,2024
Apple,AAPL,2024-04-24,Wednesday,17,4,April,2,166.54,169.3,166.21,169.02,48251835,1.2702216896345144,2024
Apple,AAPL,2024-04-23,Tuesday,17,4,April,2,165.35,167.05,164.92,166.9,49537761,0.6391702846116754,2024
Apple,AAPL,2024-04-22,Monday,17,4,April,2,165.515,167.26,164.77,165.84,48116443,0.5090909090909111,2024
Apple,AAPL,2024-04-19,Friday,16,4,April,2,166.21,166.4,164.075,165.0,68149377,-1.2212643678160873,2024
Apple,AAPL,2024-04-18,Thursday,16,4,April,2,168.03,168.64,166.55,167.04,43122903,-0.5714285714285762,2024
Apple,AAPL,2024-04-17,Wednesday,16,4,April,2,169.61,170.65,168.0,168.0,50901210,-0.8147360963513965,2024
Apple,AAPL,2024-04-16,Tuesday,16,4,April,2,171.75,173.76,168.27,169.38,73711235,-1.9167293995019992,2024
Apple,AAPL,2024-04-15,Monday,16,4,April,2,175.36,176.63,172.5,172.69,73531773,-2.18634947606911,2024
Apple,AAPL,2024-04-12,Friday,15,4,April,2,174.26,178.36,174.21,176.55,101670886,0.8626599634369397,2024
Apple,AAPL,2024-04-11,Thursday,15,4,April,2,168.34,175.46,168.16,175.04,91070275,4.327095005364162,2024
Apple,AAPL,2024-04-10,Wednesday,15,4,April,2,168.8,169.09,167.11,167.78,49709336,-1.1139270348323136,2024
Apple,AAPL,2024-04-09,Tuesday,15,4,April,2,168.7,170.08,168.35,169.67,42231444,0.7242505194419703,2024
Apple,AAPL,2024-04-08,Monday,15,4,April,2,169.03,169.2,168.24,168.45,37216858,-0.6663521641703171,2024
Apple,AAPL,2024-04-05,Friday,14,4,April,2,169.59,170.39,168.95,169.58,41975776,0.45018362753229435,2024
Apple,AAPL,2024-04-04,Thursday,14,4,April,2,170.29,171.92,168.82,168.82,53355055,-0.48924255820808277,2024
Apple,AAPL,2024-04-03,Wednesday,14,4,April,2,168.79,170.68,168.58,169.65,45571129,0.4797441364605557,2024
Apple,AAPL,2024-04-02,Tuesday,14,4,April,2,169.08,169.34,168.2302,168.84,49013991,-0.6998764923836956,2024
Apple,AAPL,2024-04-01,Monday,14,4,April,2,171.19,171.25,169.475,170.03,43772506,-0.8455796594354961,2024
Apple,AAPL,2024-03-28,Thursday,13,3,March,1,171.75,172.23,170.51,171.48,65672690,-1.0559113726847917,2024
Apple,AAPL,2024-03-27,Wednesday,13,3,March,1,170.41,173.6,170.11,173.31,60273265,2.1212656885274845,2024
Apple,AAPL,2024-03-26,Tuesday,13,3,March,1,170.0,171.42,169.58,169.71,57388449,-0.6672519754170245,2024
Apple,AAPL,2024-03-25,Monday,13,3,March,1,170.565,171.94,169.45,170.85,54288328,-0.8300441142326485,2024
Apple,AAPL,2024-03-22,Friday,12,3,March,1,171.76,173.05,170.06,172.28,71160138,0.5310147633774853,2024
Apple,AAPL,2024-03-21,Thursday,12,3,March,1,177.05,177.49,170.84,171.37,106181270,-4.085744668942734,2024
Apple,AAPL,2024-03-20,Wednesday,12,3,March,1,175.72,178.67,175.09,178.67,53423102,1.4709223080417848,2024
Apple,AAPL,2024-03-19,Tuesday,12,3,March,1,174.34,176.605,173.03,176.08,55215244,1.3585079438176455,2024
Apple,AAPL,2024-03-18,Monday,12,3,March,1,175.57,177.71,173.52,173.72,75604184,0.6372378635152325,2024
Apple,AAPL,2024-03-15,Friday,11,3,March,1,171.17,172.62,170.285,172.62,121752699,-0.2196531791907488,2024
Apple,AAPL,2024-03-14,Thursday,11,3,March,1,172.91,174.3078,172.05,173.0,72571635,1.092736516098875,2024
Apple,AAPL,2024-03-13,Wednesday,11,3,March,1,172.77,173.185,170.76,171.13,51948951,-1.2122611556889653,2024
Apple,AAPL,2024-03-12,Tuesday,11,3,March,1,173.15,174.03,171.01,173.23,59544927,0.27785817655571043,2024
Apple,AAPL,2024-03-11,Monday,11,3,March,1,172.94,174.38,172.05,172.75,58929918,1.1831546886897502,2024
Apple,AAPL,2024-03-08,Friday,10,3,March,1,169.0,173.7,168.94,170.73,76267041,1.0236686390532483,2024
Apple,AAPL,2024-03-07,Thursday,10,3,March,1,169.15,170.73,168.49,169.0,71765061,-0.07095553453169616,2024
Apple,AAPL,2024-03-06,Wednesday,10,3,March,1,171.06,171.24,168.68,169.12,68587707,-0.587820362097343,2024
Apple,AAPL,2024-03-05,Tuesday,10,3,March,1,170.76,172.04,169.62,170.12,95132355,-2.8440890919474526,2024
Apple,AAPL,2024-03-04,Monday,10,3,March,1,176.15,176.9,173.79,175.1,81510101,-2.5381275743070257,2024
Apple,AAPL,2024-03-01,Friday,9,3,March,1,179.55,180.53,177.38,179.66,73563082,-0.6030428769017999,2024
Apple,AAPL,2024-02-29,Thursday,9,2,February,1,181.27,182.57,179.53,180.75,136682597,-0.3693087862418628,2024
Apple,AAPL,2024-02-28,Wednesday,9,2,February,1,182.51,183.12,180.13,181.42,48953939,-0.6625417510814258,2024
Apple,AAPL,2024-02-27,Tuesday,9,2,February,1,181.1,183.9225,179.56,182.63,54318851,0.8114374034003086,2024
Apple,AAPL,2024-02-26,Monday,9,2,February,1,182.24,182.76,180.65,181.16,40867421,-0.7451238220469064,2024
Apple,AAPL,2024-02-23,Friday,8,2,February,1,185.01,185.04,182.23,182.52,45119677,-1.0034170418180801,2024
Apple,AAPL,2024-02-22,Thursday,8,2,February,1,183.48,184.955,182.46,184.37,52292208,1.1243966652040431,2024
Apple,AAPL,2024-02-21,Wednesday,8,2,February,1,181.94,182.8888,180.66,182.32,41529674,0.4185944040537513,2024
Apple,AAPL,2024-02-20,Tuesday,8,2,February,1,181.79,182.43,180.0,181.56,53665553,-0.4113871976304097,2024
Apple,AAPL,2024-02-16,Friday,7,2,February,1,183.42,184.85,181.665,182.31,49752465,-0.8430327423039331,2024
Apple,AAPL,2024-02-15,Thursday,7,2,February,1,183.55,184.49,181.35,183.86,65434496,-0.15748031496062562,2024
Apple,AAPL,2024-02-14,Wednesday,7,2,February,1,185.32,185.53,182.44,184.15,54630517,-0.4809770860354444,2024
Apple,AAPL,2024-02-13,Tuesday,7,2,February,1,185.77,186.21,183.5128,185.04,56529529,-1.1274378840502344,2024
Apple,AAPL,2024-02-12,Monday,7,2,February,1,188.415,188.67,186.79,187.15,41781934,-0.9001853322742858,2024
Apple,AAPL,2024-02-09,Friday,6,2,February,1,188.65,189.99,188.0,188.85,45155216,0.28143585386576103,2024
Apple,AAPL,2024-02-08,Thursday,6,2,February,1,189.385,189.535,187.35,188.32,40962046,-0.5754712000422382,2024
Apple,AAPL,2024-02-07,Wednesday,6,2,February,1,190.64,191.05,188.61,189.41,53438955,0.05810882197569213,2024
Apple,AAPL,2024-02-06,Tuesday,6,2,February,1,186.86,189.31,186.7695,189.3,43490759,0.8631713554987236,2024
Apple,AAPL,2024-02-05,Monday,6,2,February,1,188.15,189.25,185.84,187.68,69668820,0.9846650524616694,2024
Apple,AAPL,2024-02-02,Friday,5,2,February,1,179.86,187.33,179.25,185.85,102551680,-0.540511612972289,2024
Apple,AAPL,2024-02-01,Thursday,5,2,February,1,183.985,186.95,183.82,186.86,64885408,1.3340563991323253,2024
Apple,AAPL,2024-01-31,Wednesday,5,1,January,1,187.04,187.095,184.35,184.4,55467803,-1.9357583492873784,2024
Apple,AAPL,2024-01-30,Tuesday,5,1,January,1,190.94,191.8,187.47,188.04,55859370,-1.9245814426537309,2024
Apple,AAPL,2024-01-29,Monday,5,1,January,1,192.01,192.2,189.58,191.73,47145622,-0.35859058309946873,2024
Apple,AAPL,2024-01-26,Friday,4,1,January,1,194.27,194.76,191.94,192.42,44594011,-0.9012720811659887,2024
Apple,AAPL,2024-01-25,Thursday,4,1,January,1,195.22,196.2675,193.1125,194.17,54822126,-0.16966580976864395,2024
Apple,AAPL,2024-01-24,Wednesday,4,1,January,1,195.42,196.38,194.34,194.5,53463269,-0.3483963520852581,2024
Apple,AAPL,2024-01-23,Tuesday,4,1,January,1,195.02,195.75,193.8299,195.18,42355590,0.6653257001392648,2024
Apple,AAPL,2024-01-22,Monday,4,1,January,1,192.3,195.33,192.26,193.89,60133852,1.2163290874921613,2024
Apple,AAPL,2024-01-19,Friday,3,1,January,1,189.33,191.95,188.82,191.56,68902985,1.5533054127127217,2024
Apple,AAPL,2024-01-18,Thursday,3,1,January,1,186.09,189.14,185.83,188.63,78005754,3.2570615283555884,2024
Apple,AAPL,2024-01-17,Wednesday,3,1,January,1,181.27,182.93,180.3,182.68,47317433,-0.5173446604585246,2024
Apple,AAPL,2024-01-16,Tuesday,3,1,January,1,182.16,184.26,180.934,183.63,65603041,-1.2317125645438858,2024
Apple,AAPL,2024-01-12,Friday,2,1,January,1,186.06,186.74,185.19,185.92,40477782,0.1778113044883798,2024
Apple,AAPL,2024-01-11,Thursday,2,1,January,1,186.54,187.05,183.62,185.59,49128408,-0.32225146355872725,2024
Apple,AAPL,2024-01-10,Wednesday,2,1,January,1,184.35,186.4,183.92,186.19,46792908,0.567138381765157,2024
Apple,AAPL,2024-01-09,Tuesday,2,1,January,1,183.92,185.15,182.73,185.14,42841809,-0.2263418840267385,2024
Apple,AAPL,2024-01-08,Monday,2,1,January,1,182.085,185.6,181.5,185.56,59144470,2.4174853736615494,2024
Apple,AAPL,2024-01-05,Friday,1,1,January,1,181.99,182.76,180.17,181.18,62196924,-0.4012973448408497,2024
Apple,AAPL,2024-01-04,Thursday,1,1,January,1,182.15,183.0872,180.88,181.91,71983570,-1.270013568521033,2024
Apple,AAPL,2024-01-03,Wednesday,1,1,January,1,184.22,185.88,183.43,184.25,58414460,-0.7487610428786827,2024
Apple,AAPL,2024-01-02,Tuesday,1,1,January,1,187.15,188.44,183.885,185.64,82488674,-3.578663065496294,2024
Apple,AAPL,2023-12-29,Friday,52,12,December,4,193.9,194.4,191.725,192.53,42672148,-0.5424114061370034,2023
Apple,AAPL,2023-12-28,Thursday,52,12,December,4,194.14,194.66,193.17,193.58,34049898,0.22262490292519121,2023
Apple,AAPL,2023-12-27,Wednesday,52,12,December,4,192.49,193.5,191.09,193.15,47899806,0.05180005180004885,2023
Apple,AAPL,2023-12-26,Tuesday,52,12,December,4,193.61,193.89,192.83,193.05,28919310,-,2023
